t,j1,j2,j3
1770900376.701709,0.0,0.0,0.0
1770900376.7518067,0.0,0.0,0.0
1770900376.8018668,0.0,0.0,0.0
1770900376.8519316,0.0,0.0,0.0
1770900376.9019952,0.0,0.0,0.0
1770900376.9520614,0.0,0.0,0.0
1770900377.0021248,0.0,0.0,0.0
1770900377.0522304,0.0,0.0,0.0
1770900377.102294,0.0,0.0,0.0
1770900377.1523604,0.0,0.0,0.0
1770900377.2024536,0.0,0.0,0.0
1770900377.2525182,0.0,0.0,0.0
1770900377.3025854,0.0,0.0,0.0
1770900377.3526783,0.0,0.0,0.0
1770900377.402774,0.0,0.0,0.0
1770900377.4528744,0.0,0.0,0.0
1770900377.5029378,0.0,0.0,0.0
1770900377.5530427,0.0,0.0,0.0
1770900377.6031032,0.0,0.0,0.0
1770900377.6531916,0.0,0.0,0.0
1770900377.7032573,0.0,0.0,0.0
1770900377.7533216,0.0,0.0,0.0
1770900377.803393,0.0,0.0,0.0
1770900377.8534682,0.0,0.0,0.0
1770900377.9035454,0.0,0.0,0.0
1770900377.9536455,0.0,0.0,0.0
1770900378.003708,0.0,0.0,0.0
1770900378.0538082,0.0,0.0,0.0
1770900378.1038783,0.0,0.0,0.0
1770900378.1539817,0.0,0.0,0.0
1770900378.2040453,0.0,0.0,0.0
1770900378.254151,0.0,0.0,0.0
1770900378.3042624,0.0,0.0,0.0
1770900378.3543541,0.0,0.0,0.0
1770900378.404431,0.0,0.0,0.0
1770900378.4545286,0.0,0.0,0.0
1770900378.5046296,0.0,0.0,0.0
1770900378.5547261,0.0,0.0,0.0
1770900378.6048021,0.0,0.0,0.0
1770900378.654862,0.0,0.0,0.0
1770900378.7048855,0.0,0.0,0.0
1770900378.7549522,0.0,0.0,0.0
1770900378.80502,0.0,0.0,0.0
1770900378.8550847,0.0,0.0,0.0
1770900378.9051478,0.0,0.0,0.0
1770900378.955209,0.0,0.0,0.0
1770900379.0053189,0.0,0.0,0.0
1770900379.0554132,0.0,0.0,0.0
1770900379.1055152,0.0,0.0,0.0
1770900379.155578,0.0,0.0,0.0
1770900379.205671,0.0,0.0,0.0
1770900379.2557695,0.0,0.0,0.0
1770900379.3058882,0.0,0.0,0.0
1770900379.355954,0.0,0.0,0.0
1770900379.4060185,0.0,0.0,0.0
1770900379.4561248,0.0,0.0,0.0
1770900379.506219,0.0,0.0,0.0
1770900379.5562842,0.0,0.0,0.0
1770900379.6063538,0.0,0.0,0.0
1770900379.6564233,0.0,0.0,0.0
1770900379.7064888,0.0,0.0,0.0
1770900379.7565541,0.0,0.0,0.0
1770900379.8066192,0.0,0.0,0.0
1770900379.8566856,0.0,0.0,0.0
1770900379.906756,0.0,0.0,0.0
1770900379.9568255,0.0,0.0,0.0
1770900380.00689,0.0,0.0,0.0
1770900380.056972,0.0,0.0,0.0
1770900380.1070404,0.0,0.0,0.0
1770900380.157109,0.0,0.0,0.0
1770900380.2071753,0.0,0.0,0.0
1770900380.2572508,0.0,0.0,0.0
1770900380.3073149,0.0,0.0,0.0
1770900380.3586614,0.0,0.0,0.0
1770900380.4087348,0.0,0.0,0.0
1770900380.4588006,0.0,0.0,0.0
1770900380.5088253,0.0,0.0,0.0
1770900380.5588946,0.0,0.0,0.0
1770900380.6089594,0.0,0.0,0.0
1770900380.659027,0.0,0.0,0.0
1770900380.709125,0.0,0.0,0.0
1770900380.7592094,0.0,0.0,0.0
1770900380.8092856,0.0,0.0,0.0
1770900380.8593593,0.0,0.0,0.0
1770900380.9094257,0.0,0.0,0.0
1770900380.95952,0.0,0.0,0.0
1770900381.0096087,0.0,0.0,0.0
1770900381.0596762,0.0,0.0,0.0
1770900381.1097462,0.0,0.0,0.0
1770900381.1598182,0.0,0.0,0.0
1770900381.209885,0.0,0.0,0.0
1770900381.2599504,0.0,0.0,0.0
1770900381.3100195,0.0,0.0,0.0
1770900381.3600874,0.0,0.0,0.0
1770900381.4101577,0.0,0.0,0.0
1770900381.4602246,0.0,0.0,0.0
1770900381.510293,0.0,0.0,0.0
1770900381.5603595,0.0,0.0,0.0
1770900381.6104248,0.0,0.0,0.0
1770900381.66049,0.0,0.0,0.0
1770900381.710584,0.0,0.0,0.0
1770900381.7606754,0.0,0.0,0.0
1770900381.8107693,0.0,0.0,0.0
1770900381.8608208,0.0,0.0,0.0
1770900381.9109123,0.0,0.0,0.0
1770900381.9609838,0.0,0.0,0.0
1770900382.0110626,0.0,0.0,0.0
1770900382.0611506,0.0,0.0,0.0
1770900382.1112258,0.0,0.0,0.0
1770900382.1612916,0.0,0.0,0.0
1770900382.2113583,0.0,0.0,0.0
1770900382.2614245,0.0,0.0,0.0
1770900382.3114939,0.0,0.0,0.0
1770900382.3615584,0.0,0.0,0.0
1770900382.4116268,0.0,0.0,0.0
1770900382.4616938,0.0,0.0,0.0
1770900382.5117595,0.0,0.0,0.0
1770900382.5618281,0.0,0.0,0.0
1770900382.611897,0.0,0.0,0.0
1770900382.661965,0.0,0.0,0.0
1770900382.7120404,0.0,0.0,0.0
1770900382.7621067,0.0,0.0,0.0
1770900382.8121717,0.0,0.0,0.0
1770900382.8622546,0.0,0.0,0.0
1770900382.9123297,0.0,0.0,0.0
1770900382.9624088,0.0,0.0,0.0
1770900383.0124745,0.0,0.0,0.0
1770900383.06256,0.0,0.0,0.0
1770900383.1126602,0.0,0.0,0.0
1770900383.1627257,0.0,0.0,0.0
1770900383.2127929,0.0,0.0,0.0
1770900383.262845,0.0,0.0,0.0
1770900383.3129463,0.0,0.0,0.0
1770900383.3630319,0.0,0.0,0.0
1770900383.4131331,0.0,0.0,0.0
1770900383.4632194,0.0,0.0,0.0
1770900383.5132854,0.0,0.0,0.0
1770900383.5633519,0.0,0.0,0.0
1770900383.613494,0.0,0.0,0.0
1770900383.6635673,0.0,0.0,0.0
1770900383.713634,0.0,0.0,0.0
1770900383.7637281,0.0,0.0,0.0
1770900383.8138242,0.0,0.0,0.0
1770900383.8638933,0.0,0.0,0.0
1770900383.9139917,0.0,0.0,0.0
1770900383.9640596,0.0,0.0,0.0
1770900384.0141263,0.0,0.0,0.0
1770900384.0642214,0.0,0.0,0.0
1770900384.1142983,0.0,0.0,0.0
1770900384.164363,0.0,0.0,0.0
1770900384.214449,0.0,0.0,0.0
1770900384.264557,0.0,0.0,0.0
1770900384.3146508,0.0,0.0,0.0
1770900384.364767,0.0,0.0,0.0
1770900384.4148293,0.0,0.0,0.0
1770900384.4649003,0.0,0.0,0.0
1770900384.5149658,0.0,0.0,0.0
1770900384.5650318,0.0,0.0,0.0
1770900384.6150959,0.0,0.0,0.0
1770900384.6651616,0.0,0.0,0.0
1770900384.7152576,0.0,0.0,0.0
1770900384.7653255,0.0,0.0,0.0
