t,pressure
1770900369.797001,0.0
1770900369.8070614,0.0
1770900369.817122,0.0
1770900369.8271916,0.0
1770900369.8372552,0.0
1770900369.847349,0.0
1770900369.8574393,0.0
1770900369.8675292,0.0
1770900369.8776221,0.0
1770900369.887685,0.0
1770900369.8977754,0.0
1770900369.9078653,0.0
1770900369.9179566,0.0
1770900369.9280484,0.0
1770900369.9381206,0.0
1770900369.9481826,0.0
1770900369.95824,0.0
1770900369.9683018,0.0
1770900369.9783645,0.0
1770900369.9884605,0.0
1770900369.9985514,0.0
1770900370.0086126,0.0
1770900370.018705,0.0
1770900370.028803,0.0
1770900370.0388663,0.0
1770900370.0489268,0.0
1770900370.0589864,0.0
1770900370.069046,0.0
1770900370.0791059,0.0
1770900370.0891702,0.0
1770900370.0992312,0.0
1770900370.1092901,0.0
1770900370.1193526,0.0
1770900370.1294425,0.0
1770900370.139536,0.0
1770900370.149625,0.0
1770900370.1597142,0.0
1770900370.169804,0.0
1770900370.1798944,0.0
1770900370.1899543,0.0
1770900370.2000155,0.0
1770900370.2101097,0.0
1770900370.2202008,0.0
1770900370.230294,0.0
1770900370.2403882,0.0
1770900370.250449,0.0
1770900370.2605476,0.0
1770900370.270639,0.0
1770900370.2807298,0.0
1770900370.2908204,0.0
1770900370.3008657,0.0
1770900370.3109245,0.0
1770900370.3209877,0.0
1770900370.3310459,0.0
1770900370.3411088,0.0
1770900370.3511992,0.0
1770900370.3612633,0.0
1770900370.371354,0.0
1770900370.3814464,0.0
1770900370.3915367,0.0
1770900370.4016285,0.0
1770900370.4117296,0.0
1770900370.4218245,0.0
1770900370.4318533,0.0
1770900370.4419127,0.0
1770900370.451973,0.0
1770900370.4620326,0.0
1770900370.4720974,0.0
1770900370.4821596,0.0
1770900370.492251,0.0
1770900370.5023105,0.0
1770900370.512373,0.0
1770900370.5224347,0.0
1770900370.5324974,0.0
1770900370.5425885,0.0
1770900370.5526798,0.0
1770900370.5627718,0.0
1770900370.5728881,0.0
1770900370.5829468,0.0
1770900370.5930452,0.0
1770900370.6031055,0.0
1770900370.6131642,0.0
1770900370.6232274,0.0
1770900370.6333034,0.0
1770900370.6433654,0.0
1770900370.6534562,0.0
1770900370.6635468,0.0
1770900370.6736367,0.0
1770900370.683727,0.0
1770900370.6938202,0.0
1770900370.7038708,0.0
1770900370.7139301,0.0
1770900370.72402,0.0
1770900370.7341185,0.0
1770900370.7442093,0.0
1770900370.754301,0.0
1770900370.7643921,0.0
1770900370.7744539,0.0
1770900370.7845445,0.0
1770900370.7946105,0.0
1770900370.804703,0.0
1770900370.8147645,0.0
1770900370.82487,0.0
1770900370.834933,0.0
1770900370.845002,0.0
1770900370.8550622,0.0
1770900370.8651183,0.0
1770900370.87521,0.0
1770900370.8852713,0.0
1770900370.895329,0.0
1770900370.9053857,0.0
1770900370.9154415,0.0
1770900370.92551,0.0
1770900370.935571,0.0
1770900370.9456606,0.0
1770900370.9557493,0.0
1770900370.9658098,0.0
1770900370.975883,0.0
1770900370.9859402,0.0
1770900370.996007,0.0
1770900371.0060635,0.0
1770900371.0161188,0.0
1770900371.0261838,0.0
1770900371.0362418,0.0
1770900371.0462978,0.0
1770900371.056352,0.0
1770900371.0664213,0.0
1770900371.0764763,0.0
1770900371.0865324,0.0
1770900371.0965965,0.0
1770900371.1066515,0.0
1770900371.1167066,0.0
1770900371.1267831,0.0
1770900371.136873,0.0
1770900371.1469388,0.0
1770900371.156997,0.0
1770900371.1670554,0.0
1770900371.1771138,0.0
1770900371.187176,0.0
1770900371.1972384,0.0
1770900371.2073286,0.0
1770900371.2174187,0.0
1770900371.2275107,0.0
1770900371.237601,0.0
1770900371.2476926,0.0
1770900371.2577925,0.0
1770900371.2678869,0.0
1770900371.2779498,0.0
1770900371.2880492,0.0
1770900371.2981408,0.0
1770900371.3082004,0.0
1770900371.3182662,0.0
1770900371.3283298,0.0
1770900371.338389,0.0
1770900371.3484483,0.0
1770900371.3585377,0.0
1770900371.368626,0.0
1770900371.3786902,0.0
1770900371.3887494,0.0
1770900371.3988073,0.0
1770900371.4088185,0.0
1770900371.4188845,0.0
1770900371.4289742,0.0
1770900371.4390364,0.0
1770900371.4490979,0.0
1770900371.459161,0.0
1770900371.4692209,0.0
1770900371.479286,0.0
1770900371.4893482,0.0
1770900371.4994092,0.0
1770900371.5094702,0.0
1770900371.5195298,0.0
1770900371.5295975,0.0
1770900371.5396621,0.0
1770900371.549724,0.0
1770900371.559826,0.0
1770900371.5698607,0.0
1770900371.5799499,0.0
1770900371.5900395,0.0
1770900371.6001356,0.0
1770900371.6102328,0.0
1770900371.620296,0.0
1770900371.6303575,0.0
1770900371.6404483,0.0
1770900371.6505167,0.0
1770900371.6606064,0.0
1770900371.670669,0.0
1770900371.680727,0.0
1770900371.690783,0.0
1770900371.700822,0.0
1770900371.710883,0.0
1770900371.7209423,0.0
1770900371.731001,0.0
1770900371.7410765,0.0
1770900371.7511356,0.0
1770900371.761197,0.0
1770900371.7712889,0.0
1770900371.7813485,0.0
1770900371.7914126,0.0
1770900371.801475,0.0
1770900371.8115351,0.0
1770900371.821598,0.0
1770900371.8316622,0.0
1770900371.8417416,0.0
1770900371.8518405,0.0
1770900371.8619022,0.0
1770900371.87197,0.0
1770900371.882038,0.0
1770900371.8921046,0.0
1770900371.9021707,0.0
1770900371.9122355,0.0
1770900371.9222977,0.0
1770900371.9323723,0.0
1770900371.9428883,0.0
1770900371.953031,0.0
1770900372.139444,0.0
1770900372.1529799,0.0
1770900372.1630726,0.0
1770900372.173165,0.0
1770900372.1834528,0.0
1770900372.202749,0.0
1770900372.2131782,0.0
1770900372.223419,0.0
1770900372.2335815,0.0
1770900372.2437775,0.0
1770900372.254422,0.0
1770900372.2646613,0.0
1770900372.27476,0.0
1770900372.2848496,0.0
1770900372.2950149,0.0
1770900372.3056047,0.0
1770900372.3157039,0.0
1770900372.3257787,0.0
1770900372.335908,0.0
1770900372.3463953,0.0
1770900372.3565228,0.0
1770900372.3677225,0.0
1770900372.3780835,0.0
1770900372.3881457,0.0
1770900372.4032726,0.0
1770900372.4134722,0.0
1770900372.4316485,0.0
1770900372.4417994,0.0
1770900372.4555771,0.0
1770900372.4657772,0.0
1770900372.475869,0.0
1770900372.4859457,0.0
1770900372.4960103,0.0
1770900372.5064769,0.0
1770900372.5176709,0.0
1770900372.528884,0.0
1770900372.5397239,0.0
1770900372.549884,0.0
1770900372.5599737,0.0
1770900372.5756135,0.0
1770900372.5861301,0.0
1770900372.5968175,0.0
1770900372.608848,0.0
1770900372.620353,0.0
1770900372.6348999,0.0
1770900372.6451375,0.0
1770900372.6602616,0.0
1770900372.675415,0.0
1770900372.6856651,0.0
1770900372.696349,0.0
1770900372.7115936,0.0
1770900372.72178,0.0
1770900372.7320058,0.0
1770900372.7421558,0.0
1770900372.752303,0.0
1770900372.7624357,0.0
1770900372.772591,0.0
1770900372.7826529,0.0
1770900372.7955594,0.0
1770900372.8298414,0.0
1770900372.8399618,0.0
1770900372.8513696,0.0
1770900372.8614984,0.0
1770900372.871671,0.0
1770900372.881766,0.0
1770900372.892314,0.0
1770900372.9025471,0.0
1770900372.9128788,0.0
1770900372.9230988,0.0
1770900372.933415,0.0
1770900372.943625,0.0
1770900372.9560497,0.0
1770900372.9691362,0.0
1770900372.9809685,0.0
1770900372.9910781,0.0
1770900373.001161,0.0
1770900373.011993,0.0
1770900373.0222573,0.0
1770900373.0702033,0.0
1770900373.0813296,0.0
1770900373.0915394,0.0
1770900373.1068072,0.0
1770900373.1168716,0.0
1770900373.1270468,0.0
1770900373.1422908,0.0
1770900373.1537302,0.0
1770900373.16943,0.0
1770900373.1796315,0.0
1770900373.1916316,0.0
1770900373.2017763,0.0
1770900373.2118728,0.0
1770900373.221979,0.0
1770900373.232074,0.0
1770900373.2446501,0.0
1770900373.2574275,0.0
1770900373.2686968,0.0
1770900373.2789924,0.0
