t,pressure
1770806722.0494454,0.0
1770806722.0594862,0.0
1770806722.069592,0.0
1770806722.0796924,0.0
1770806722.0897832,0.0
1770806722.0998826,0.0
1770806722.1099482,0.0
1770806722.1200392,0.0
1770806722.1301305,0.0
1770806722.1402204,0.0
1770806722.1503115,0.0
1770806722.1604054,0.0
1770806722.1705108,0.0
1770806722.1806016,0.0
1770806722.190662,0.0
1770806722.2007518,0.0
1770806722.2108119,0.0
1770806722.2209027,0.0
1770806722.2309918,0.0
1770806722.2410822,0.0
1770806722.2511418,0.0
1770806722.2612321,0.0
1770806722.2713192,0.0
1770806722.2814407,0.0
1770806722.2915425,0.0
1770806722.301633,0.0
1770806722.3117256,0.0
1770806722.321815,0.0
1770806722.3318746,0.0
1770806722.341967,0.0
1770806722.352056,0.0
1770806722.3621447,0.0
1770806722.3722384,0.0
1770806722.3823278,0.0
1770806722.3923948,0.0
1770806722.4024863,0.0
1770806722.4125452,0.0
1770806722.4226434,0.0
1770806722.432735,0.0
1770806722.4428244,0.0
1770806722.452913,0.0
1770806722.4630024,0.0
1770806722.4730923,0.0
1770806722.4831848,0.0
1770806722.493276,0.0
1770806722.5033667,0.0
1770806722.5134559,0.0
1770806722.5235138,0.0
1770806722.533581,0.0
1770806722.5436728,0.0
1770806722.5537326,0.0
1770806722.5638256,0.0
1770806722.5739145,0.0
1770806722.5840042,0.0
1770806722.5940926,0.0
1770806722.604154,0.0
1770806722.6142502,0.0
1770806722.6243412,0.0
1770806722.63444,0.0
1770806722.644529,0.0
1770806722.6546216,0.0
1770806722.6646814,0.0
1770806722.6747463,0.0
1770806722.6848083,0.0
1770806722.6948736,0.0
1770806722.7049687,0.0
1770806722.7150578,0.0
1770806722.7251468,0.0
1770806722.7352366,0.0
1770806722.745328,0.0
1770806722.7554176,0.0
1770806722.765478,0.0
1770806722.7755692,0.0
1770806722.785686,0.0
1770806722.7957838,0.0
1770806722.8058732,0.0
1770806722.8159623,0.0
1770806722.8260527,0.0
1770806722.8361416,0.0
1770806722.8462365,0.0
1770806722.856328,0.0
1770806722.866416,0.0
1770806722.8765268,0.0
1770806722.886616,0.0
1770806722.896681,0.0
1770806722.9067428,0.0
1770806722.9168024,0.0
1770806722.9268613,0.0
1770806722.9369383,0.0
1770806722.9470322,0.0
1770806722.9571207,0.0
1770806722.967211,0.0
1770806722.977302,0.0
1770806722.9873931,0.0
1770806722.997477,0.0
1770806723.0075755,0.0
1770806723.0176647,0.0
1770806723.027754,0.0
1770806723.0378513,0.0
1770806723.0479193,0.0
1770806723.058011,0.0
1770806723.0681057,0.0
1770806723.078206,0.0
1770806723.0882978,0.0
1770806723.0983868,0.0
1770806723.1084797,0.0
1770806723.1185727,0.0
1770806723.1286666,0.0
1770806723.1387577,0.0
1770806723.148855,0.0
1770806723.1589518,0.0
1770806723.1690407,0.0
1770806723.1791306,0.0
1770806723.1892006,0.0
1770806723.1992993,0.0
1770806723.2093909,0.0
1770806723.219452,0.0
1770806723.2294998,0.0
1770806723.2395597,0.0
1770806723.2496195,0.0
1770806723.259679,0.0
1770806723.2697387,0.0
1770806723.279828,0.0
1770806723.2899177,0.0
1770806723.2999804,0.0
1770806723.310071,0.0
1770806723.320162,0.0
1770806723.330253,0.0
1770806723.3403432,0.0
1770806723.350445,0.0
1770806723.360474,0.0
1770806723.3705342,0.0
1770806723.3805938,0.0
1770806723.3906527,0.0
1770806723.4007227,0.0
1770806723.4107835,0.0
1770806723.420842,0.0
1770806723.430902,0.0
1770806723.440964,0.0
1770806723.45107,0.0
1770806723.4611602,0.0
1770806723.4712505,0.0
1770806723.4813395,0.0
1770806723.4914474,0.0
1770806723.501475,0.0
1770806723.511536,0.0
1770806723.5215955,0.0
1770806723.5316546,0.0
1770806723.5417142,0.0
1770806723.5517845,0.0
1770806723.5618453,0.0
1770806723.5719054,0.0
1770806723.58197,0.0
1770806723.5920353,0.0
1770806723.6021273,0.0
1770806723.6122177,0.0
1770806723.6223063,0.0
1770806723.6324232,0.0
1770806723.6424944,0.0
1770806723.6525626,0.0
1770806723.6626222,0.0
1770806723.6726816,0.0
1770806723.6827426,0.0
1770806723.692805,0.0
1770806723.7028642,0.0
1770806723.7129233,0.0
1770806723.7229872,0.0
1770806723.7330475,0.0
1770806723.7431397,0.0
1770806723.7532303,0.0
1770806723.7633214,0.0
1770806723.773411,0.0
1770806723.7834651,0.0
1770806723.793526,0.0
1770806723.8035855,0.0
1770806723.8136475,0.0
1770806723.8237078,0.0
1770806723.833768,0.0
1770806723.843858,0.0
1770806723.8539183,0.0
1770806723.8639781,0.0
1770806723.8740795,0.0
1770806723.8841703,0.0
1770806723.8942626,0.0
1770806723.904352,0.0
1770806723.9144454,0.0
1770806723.9245238,0.0
1770806723.934592,0.0
1770806723.944696,0.0
1770806723.9547553,0.0
1770806723.964818,0.0
1770806723.9748795,0.0
1770806723.98494,0.0
1770806723.9950297,0.0
1770806724.0051208,0.0
1770806724.0152216,0.0
1770806724.0252845,0.0
1770806724.0353768,0.0
1770806724.0454702,0.0
1770806724.0555305,0.0
1770806724.0655909,0.0
1770806724.075656,0.0
1770806724.085718,0.0
1770806724.095778,0.0
1770806724.105838,0.0
1770806724.1159017,0.0
1770806724.125966,0.0
1770806724.1360555,0.0
1770806724.1461465,0.0
1770806724.1562362,0.0
1770806724.1663258,0.0
1770806724.176418,0.0
1770806724.1864657,0.0
1770806724.1965253,0.0
1770806724.2065852,0.0
1770806724.2166448,0.0
1770806724.226705,0.0
1770806724.236765,0.0
1770806724.2468328,0.0
1770806724.2568936,0.0
1770806724.2669537,0.0
1770806724.277014,0.0
1770806724.2871044,0.0
1770806724.297191,0.0
1770806724.307287,0.0
1770806724.3173466,0.0
1770806724.3274415,0.0
1770806724.3374736,0.0
1770806724.3475335,0.0
1770806724.3575954,0.0
1770806724.3676567,0.0
1770806724.3777301,0.0
1770806724.3877945,0.0
1770806724.3978555,0.0
1770806724.4079618,0.0
1770806724.4180272,0.0
1770806724.42812,0.0
1770806724.4381876,0.0
1770806724.4482808,0.0
1770806724.4583714,0.0
1770806724.468487,0.0
1770806724.4785576,0.0
1770806724.4886196,0.0
1770806724.4986796,0.0
1770806724.5087385,0.0
1770806724.5187986,0.0
1770806724.528861,0.0
1770806724.5389524,0.0
1770806724.5490427,0.0
1770806724.5591328,0.0
1770806724.5692225,0.0
1770806724.5793016,0.0
1770806724.589368,0.0
1770806724.5994906,0.0
1770806724.609581,0.0
1770806724.6196623,0.0
1770806724.6297696,0.0
1770806724.63986,0.0
1770806724.6499476,0.0
1770806724.6600397,0.0
1770806724.670138,0.0
1770806724.680203,0.0
1770806724.6902943,0.0
1770806724.700384,0.0
1770806724.7104769,0.0
1770806724.7205896,0.0
1770806724.7306535,0.0
1770806724.7407277,0.0
1770806724.750787,0.0
1770806724.7608492,0.0
1770806724.770936,0.0
1770806724.7810278,0.0
1770806724.7911205,0.0
1770806724.8012114,0.0
1770806724.8113017,0.0
1770806724.821391,0.0
1770806724.831491,0.0
1770806724.8415837,0.0
1770806724.851681,0.0
1770806724.8617709,0.0
1770806724.871868,0.0
1770806724.881957,0.0
1770806724.8920195,0.0
1770806724.9021094,0.0
1770806724.9122026,0.0
1770806724.9222944,0.0
1770806724.9323838,0.0
1770806724.942447,0.0
1770806724.952498,0.0
1770806724.9625974,0.0
1770806724.9726565,0.0
1770806724.98275,0.0
1770806724.9928412,0.0
1770806725.002931,0.0
1770806725.0130227,0.0
1770806725.0231159,0.0
1770806725.0332217,0.0
1770806725.043319,0.0
1770806725.0534098,0.0
1770806725.0635028,0.0
1770806725.0735629,0.0
1770806725.0836585,0.0
1770806725.0937266,0.0
1770806725.1038163,0.0
1770806725.113907,0.0
1770806725.1239693,0.0
1770806725.1340656,0.0
1770806725.1441574,0.0
1770806725.1542547,0.0
1770806725.1643462,0.0
1770806725.1744547,0.0
1770806725.1845496,0.0
1770806725.1946113,0.0
1770806725.204702,0.0
1770806725.2147918,0.0
1770806725.224853,0.0
1770806725.2349176,0.0
1770806725.2449787,0.0
1770806725.2550452,0.0
1770806725.2651367,0.0
1770806725.2752273,0.0
1770806725.285319,0.0
1770806725.2953775,0.0
1770806725.3054924,0.0
1770806725.315552,0.0
1770806725.3256114,0.0
1770806725.3357024,0.0
1770806725.3457644,0.0
1770806725.3558245,0.0
1770806725.3658848,0.0
1770806725.3759441,0.0
1770806725.3860343,0.0
1770806725.3961287,0.0
