t,j1,j2,j3
1770814441.9719079,0.0,0.0,0.0
1770814442.0220008,0.0,0.0,0.0
1770814442.0720932,0.0,0.0,0.0
1770814442.1221874,0.0,0.0,0.0
1770814442.1722991,0.0,0.0,0.0
1770814442.2223942,0.0,0.0,0.0
1770814442.272497,0.0,0.0,0.0
1770814442.32256,0.0,0.0,0.0
1770814442.3726215,0.0,0.0,0.0
1770814442.4226837,0.0,0.0,0.0
1770814442.472746,0.0,0.0,0.0
1770814442.5228078,0.0,0.0,0.0
1770814442.5728688,0.0,0.0,0.0
1770814442.6229331,0.0,0.0,0.0
1770814442.6729953,0.0,0.0,0.0
1770814442.7230568,0.0,0.0,0.0
1770814442.773119,0.0,0.0,0.0
1770814442.8232105,0.0,0.0,0.0
1770814442.8733015,0.0,0.0,0.0
1770814442.9233634,0.0,0.0,0.0
1770814442.9734764,0.0,0.0,0.0
1770814443.0235474,0.0,0.0,0.0
1770814443.0736098,0.0,0.0,0.0
1770814443.123671,0.0,0.0,0.0
1770814443.1737328,0.0,0.0,0.0
1770814443.2237957,0.0,0.0,0.0
1770814443.2738569,0.0,0.0,0.0
1770814443.3239195,0.0,0.0,0.0
1770814443.373993,0.0,0.0,0.0
1770814443.4240885,0.0,0.0,0.0
1770814443.474181,0.0,0.0,0.0
1770814443.5242732,0.0,0.0,0.0
1770814443.5743341,0.0,0.0,0.0
1770814443.6243978,0.0,0.0,0.0
1770814443.6744754,0.0,0.0,0.0
1770814443.724538,0.0,0.0,0.0
1770814443.7746112,0.0,0.0,0.0
1770814443.8246727,0.0,0.0,0.0
1770814443.8747344,0.0,0.0,0.0
1770814443.9247925,0.0,0.0,0.0
1770814443.9748366,0.0,0.0,0.0
1770814444.0249474,0.0,0.0,0.0
1770814444.07504,0.0,0.0,0.0
1770814444.1251402,0.0,0.0,0.0
1770814444.1752367,0.0,0.0,0.0
1770814444.2252994,0.0,0.0,0.0
1770814444.2753625,0.0,0.0,0.0
1770814444.325455,0.0,0.0,0.0
1770814444.3755171,0.0,0.0,0.0
1770814444.4256103,0.0,0.0,0.0
1770814444.4757028,0.0,0.0,0.0
1770814444.5257936,0.0,0.0,0.0
1770814444.5758638,0.0,0.0,0.0
1770814444.6259248,0.0,0.0,0.0
1770814444.675988,0.0,0.0,0.0
1770814444.7260797,0.0,0.0,0.0
1770814444.7761724,0.0,0.0,0.0
1770814444.8262644,0.0,0.0,0.0
1770814444.8763573,0.0,0.0,0.0
1770814444.9264514,0.0,0.0,0.0
1770814444.976519,0.0,0.0,0.0
1770814445.026614,0.0,0.0,0.0
1770814445.0766752,0.0,0.0,0.0
1770814445.1267674,0.0,0.0,0.0
1770814445.176831,0.0,0.0,0.0
1770814445.226893,0.0,0.0,0.0
1770814445.2769873,0.0,0.0,0.0
1770814445.3270493,0.0,0.0,0.0
1770814445.3771415,0.0,0.0,0.0
1770814445.4272354,0.0,0.0,0.0
1770814445.4773276,0.0,0.0,0.0
1770814445.5274196,0.0,0.0,0.0
1770814445.577484,0.0,0.0,0.0
1770814445.6275454,0.0,0.0,0.0
1770814445.67761,0.0,0.0,0.0
1770814445.727672,0.0,0.0,0.0
1770814445.777774,0.0,0.0,0.0
1770814445.8278668,0.0,0.0,0.0
1770814445.8779588,0.0,0.0,0.0
1770814445.9280508,0.0,0.0,0.0
1770814445.978143,0.0,0.0,0.0
1770814446.028211,0.0,0.0,0.0
1770814446.0783055,0.0,0.0,0.0
1770814446.1283681,0.0,0.0,0.0
1770814446.1784658,0.0,0.0,0.0
1770814446.2285268,0.0,0.0,0.0
1770814446.2785892,0.0,0.0,0.0
1770814446.328653,0.0,0.0,0.0
1770814446.3787146,0.0,0.0,0.0
1770814446.4287791,0.0,0.0,0.0
1770814446.4788413,0.0,0.0,0.0
1770814446.5289454,0.0,0.0,0.0
1770814446.5790098,0.0,0.0,0.0
1770814446.6291022,0.0,0.0,0.0
1770814446.6791987,0.0,0.0,0.0
1770814446.729291,0.0,0.0,0.0
1770814446.779382,0.0,0.0,0.0
1770814446.829483,0.0,0.0,0.0
1770814446.8795447,0.0,0.0,0.0
1770814446.9296377,0.0,0.0,0.0
1770814446.979705,0.0,0.0,0.0
1770814447.0298002,0.0,0.0,0.0
1770814447.0798643,0.0,0.0,0.0
1770814447.1299264,0.0,0.0,0.0
1770814447.1799855,0.0,0.0,0.0
1770814447.2300563,0.0,0.0,0.0
1770814447.2801495,0.0,0.0,0.0
1770814447.3302114,0.0,0.0,0.0
1770814447.380307,0.0,0.0,0.0
1770814447.4303994,0.0,0.0,0.0
1770814447.4804788,0.0,0.0,0.0
1770814447.530576,0.0,0.0,0.0
1770814447.5806355,0.0,0.0,0.0
1770814447.6307044,0.0,0.0,0.0
1770814447.6807668,0.0,0.0,0.0
1770814447.730829,0.0,0.0,0.0
1770814447.7808902,0.0,0.0,0.0
1770814447.8309524,0.0,0.0,0.0
1770814447.8810112,0.0,0.0,0.0
1770814447.9310677,0.0,0.0,0.0
1770814447.9811583,0.0,0.0,0.0
1770814448.0312521,0.0,0.0,0.0
1770814448.0813124,0.0,0.0,0.0
1770814448.1314075,0.0,0.0,0.0
1770814448.1814709,0.0,0.0,0.0
1770814448.2315288,0.0,0.0,0.0
1770814448.2815847,0.0,0.0,0.0
1770814448.3316543,0.0,0.0,0.0
1770814448.3817165,0.0,0.0,0.0
1770814448.4317858,0.0,0.0,0.0
1770814448.4818616,0.0,0.0,0.0
1770814448.531944,0.0,0.0,0.0
1770814448.5820456,0.0,0.0,0.0
1770814448.6321075,0.0,0.0,0.0
1770814448.6822016,0.0,0.0,0.0
1770814448.732268,0.0,0.0,0.0
1770814448.7823598,0.0,0.0,0.0
1770814448.8324218,0.0,0.0,0.0
1770814448.882434,0.0,0.0,0.0
1770814448.932493,0.0,0.0,0.0
1770814448.9825542,0.0,0.0,0.0
1770814449.0326152,0.0,0.0,0.0
1770814449.0826774,0.0,0.0,0.0
1770814449.13274,0.0,0.0,0.0
1770814449.1828022,0.0,0.0,0.0
1770814449.2328691,0.0,0.0,0.0
1770814449.2829306,0.0,0.0,0.0
1770814449.333023,0.0,0.0,0.0
1770814449.3831153,0.0,0.0,0.0
1770814449.4332218,0.0,0.0,0.0
1770814449.4833207,0.0,0.0,0.0
1770814449.5334132,0.0,0.0,0.0
1770814449.583507,0.0,0.0,0.0
1770814449.633569,0.0,0.0,0.0
1770814449.6836307,0.0,0.0,0.0
1770814449.7336931,0.0,0.0,0.0
1770814449.7837553,0.0,0.0,0.0
1770814449.8338168,0.0,0.0,0.0
1770814449.8838787,0.0,0.0,0.0
1770814449.933939,0.0,0.0,0.0
1770814449.9840016,0.0,0.0,0.0
1770814450.0340934,0.0,0.0,0.0
1770814450.0841944,0.0,0.0,0.0
1770814450.1343036,0.0,0.0,0.0
1770814450.1844058,0.0,0.0,0.0
1770814450.234479,0.0,0.0,0.0
1770814450.2845426,0.0,0.0,0.0
1770814450.3346071,0.0,0.0,0.0
1770814450.3846738,0.0,0.0,0.0
1770814450.4347386,0.0,0.0,0.0
1770814450.4848397,0.0,0.0,0.0
1770814450.5349343,0.0,0.0,0.0
1770814450.5850315,0.0,0.0,0.0
1770814450.635121,0.0,0.0,0.0
1770814450.6851854,0.0,0.0,0.0
1770814450.7352786,0.0,0.0,0.0
1770814450.7853732,0.0,0.0,0.0
1770814450.8355155,0.0,0.0,0.0
1770814450.8855813,0.0,0.0,0.0
1770814450.9356446,0.0,0.0,0.0
1770814450.985738,0.0,0.0,0.0
1770814451.0358045,0.0,0.0,0.0
1770814451.0858982,0.0,0.0,0.0
1770814451.1359608,0.0,0.0,0.0
1770814451.186052,0.0,0.0,0.0
1770814451.236153,0.0,0.0,0.0
1770814451.2862453,0.0,0.0,0.0
1770814451.3363388,0.0,0.0,0.0
1770814451.3864372,0.0,0.0,0.0
1770814451.4365356,0.0,0.0,0.0
1770814451.4866412,0.0,0.0,0.0
1770814451.536707,0.0,0.0,0.0
1770814451.5867715,0.0,0.0,0.0
1770814451.6368346,0.0,0.0,0.0
1770814451.6869466,0.0,0.0,0.0
1770814451.737013,0.0,0.0,0.0
1770814451.787107,0.0,0.0,0.0
1770814451.8372018,0.0,0.0,0.0
1770814451.8872666,0.0,0.0,0.0
1770814451.9373643,0.0,0.0,0.0
1770814451.9874578,0.0,0.0,0.0
1770814452.0375504,0.0,0.0,0.0
1770814452.0876148,0.0,0.0,0.0
1770814452.1376767,0.0,0.0,0.0
1770814452.1877384,0.0,0.0,0.0
1770814452.2377994,0.0,0.0,0.0
1770814452.287861,0.0,0.0,0.0
1770814452.3379226,0.0,0.0,0.0
1770814452.3879843,0.0,0.0,0.0
1770814452.4380457,0.0,0.0,0.0
1770814452.4881365,0.0,0.0,0.0
1770814452.5382404,0.0,0.0,0.0
1770814452.5883331,0.0,0.0,0.0
1770814452.6383986,0.0,0.0,0.0
1770814452.6884766,0.0,0.0,0.0
1770814452.738548,0.0,0.0,0.0
1770814452.7886443,0.0,0.0,0.0
1770814452.8387394,0.0,0.0,0.0
1770814452.8888319,0.0,0.0,0.0
1770814452.9389257,0.0,0.0,0.0
1770814452.9889877,0.0,0.0,0.0
1770814453.0390518,0.0,0.0,0.0
1770814453.0891175,0.0,0.0,0.0
1770814453.1392128,0.0,0.0,0.0
1770814453.1893055,0.0,0.0,0.0
1770814453.239395,0.0,0.0,0.0
1770814453.2894883,0.0,0.0,0.0
1770814453.3395503,0.0,0.0,0.0
1770814453.3896456,0.0,0.0,0.0
1770814453.4397058,0.0,0.0,0.0
1770814453.4897637,0.0,0.0,0.0
1770814453.539834,0.0,0.0,0.0
1770814453.589897,0.0,0.0,0.0
1770814453.6399589,0.0,0.0,0.0
1770814453.6900508,0.0,0.0,0.0
1770814453.7401175,0.0,0.0,0.0
1770814453.7902098,0.0,0.0,0.0
1770814453.840271,0.0,0.0,0.0
1770814453.8903637,0.0,0.0,0.0
1770814453.9404588,0.0,0.0,0.0
1770814453.990516,0.0,0.0,0.0
1770814454.040606,0.0,0.0,0.0
