t,pressure
1770814443.1165352,0.0
1770814443.1265936,0.0
1770814443.1366837,0.0
1770814443.146756,0.0
1770814443.1568189,0.0
1770814443.1668859,0.0
1770814443.176947,0.0
1770814443.1870072,0.0
1770814443.1970677,0.0
1770814443.20713,0.0
1770814443.2171924,0.0
1770814443.2272527,0.0
1770814443.2373126,0.0
1770814443.2473726,0.0
1770814443.2574418,0.0
1770814443.2674923,0.0
1770814443.277554,0.0
1770814443.2876155,0.0
1770814443.2977111,0.0
1770814443.307801,0.0
1770814443.3178613,0.0
1770814443.3279524,0.0
1770814443.3380446,0.0
1770814443.348135,0.0
1770814443.3582237,0.0
1770814443.3683155,0.0
1770814443.378408,0.0
1770814443.3884773,0.0
1770814443.3985386,0.0
1770814443.4086,0.0
1770814443.4186897,0.0
1770814443.4287846,0.0
1770814443.4388752,0.0
1770814443.4489655,0.0
1770814443.459056,0.0
1770814443.469146,0.0
1770814443.479249,0.0
1770814443.4893174,0.0
1770814443.4993742,0.0
1770814443.5094612,0.0
1770814443.5195277,0.0
1770814443.5295873,0.0
1770814443.5396774,0.0
1770814443.5497673,0.0
1770814443.5598574,0.0
1770814443.5699198,0.0
1770814443.579995,0.0
1770814443.5900545,0.0
1770814443.600114,0.0
1770814443.6102026,0.0
1770814443.62026,0.0
1770814443.630316,0.0
1770814443.6403701,0.0
1770814443.6504357,0.0
1770814443.6604898,0.0
1770814443.6705453,0.0
1770814443.6806002,0.0
1770814443.6906545,0.0
1770814443.7007096,0.0
1770814443.7107923,0.0
1770814443.7208865,0.0
1770814443.7309775,0.0
1770814443.7410672,0.0
1770814443.7511575,0.0
1770814443.7612197,0.0
1770814443.7712793,0.0
1770814443.7813373,0.0
1770814443.7913961,0.0
1770814443.8014545,0.0
1770814443.811511,0.0
1770814443.8215725,0.0
1770814443.8316348,0.0
1770814443.8417249,0.0
1770814443.851815,0.0
1770814443.8619053,0.0
1770814443.8719654,0.0
1770814443.8820581,0.0
1770814443.8921263,0.0
1770814443.902187,0.0
1770814443.912277,0.0
1770814443.9223735,0.0
1770814443.9324636,0.0
1770814443.94256,0.0
1770814443.952661,0.0
1770814443.962751,0.0
1770814443.9728625,0.0
1770814443.9829524,0.0
1770814443.9930182,0.0
1770814444.0031104,0.0
1770814444.013199,0.0
1770814444.0232918,0.0
1770814444.0333822,0.0
1770814444.043513,0.0
1770814444.0536032,0.0
1770814444.063693,0.0
1770814444.073783,0.0
1770814444.0838757,0.0
1770814444.0939767,0.0
1770814444.1040661,0.0
1770814444.1141553,0.0
1770814444.1242445,0.0
1770814444.1343217,0.0
1770814444.1443865,0.0
1770814444.1544428,0.0
1770814444.1645079,0.0
1770814444.1746013,0.0
1770814444.1846933,0.0
1770814444.1947823,0.0
1770814444.204874,0.0
1770814444.2149725,0.0
1770814444.2250366,0.0
1770814444.2350945,0.0
1770814444.2451863,0.0
1770814444.2552772,0.0
1770814444.265374,0.0
1770814444.2754383,0.0
1770814444.285505,0.0
1770814444.295563,0.0
1770814444.3056533,0.0
1770814444.3157237,0.0
1770814444.3258145,0.0
1770814444.3359072,0.0
1770814444.3459656,0.0
1770814444.3562036,0.0
1770814444.3662944,0.0
1770814444.3763838,0.0
1770814444.3864825,0.0
1770814444.3965743,0.0
1770814444.4066646,0.0
1770814444.4167547,0.0
